Baseline 100%T_S,,Baseline 100%T_P,,312_R6G-PdTPP_simple P 6.00 12.00,,312_R6G-PdTPP_simple P 10.00 20.00,,312_R6G-PdTPP_simple P 14.00 28.00,,312_R6G-PdTPP_simple P 18.00 36.00,,312_R6G-PdTPP_simple P 22.00 44.00,,312_R6G-PdTPP_simple P 26.00 52.00,,312_R6G-PdTPP_simple P 30.00 60.00,,312_R6G-PdTPP_simple P 34.00 68.00,,312_R6G-PdTPP_simple P 38.00 76.00,,312_R6G-PdTPP_simple P 42.00 84.00,,312_R6G-PdTPP_simple P 46.00 92.00,,312_R6G-PdTPP_simple P 50.00 100.00,,312_R6G-PdTPP_simple P 54.00 108.00,,312_R6G-PdTPP_simple P 58.00 116.00,,312_R6G-PdTPP_simple P 62.00 124.00,,312_R6G-PdTPP_simple P 66.00 132.00,,312_R6G-PdTPP_simple P 70.00 140.00,,312_R6G-PdTPP_simple P 74.00 148.00,,312_R6G-PdTPP_simple P 78.00 156.00,,312_R6G-PdTPP_simple P 82.00 164.00,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
878,28.98777199,878,136.4034424,878,95.83280945,878,95.84255219,878,95.82894897,878,95.83558655,878,95.7846756,878,95.79740143,878,95.77848816,878,95.72050476,878,95.69490814,878,95.58834076,878,95.45133972,878,95.30964661,878,95.07912445,878,94.78326416,878,94.49708557,878,94.12789154,878,93.63838196,878,93.12677765,878,92.56678772,878,88.10384369,
877,29.16542625,877,136.1361389,877,95.82321167,877,95.84138489,877,95.84170532,877,95.8456192,877,95.79225922,877,95.81079102,877,95.77196503,877,95.71911621,877,95.65306091,877,95.56437683,877,95.45570374,877,95.3318634,877,95.03836823,877,94.80760193,877,94.47615814,877,94.09524536,877,93.65275574,877,93.12002563,877,92.57375336,877,88.10404205,
876,29.33219337,876,135.9006348,876,95.80879974,876,95.8011322,876,95.8240509,876,95.80832672,876,95.80603027,876,95.79554749,876,95.74555969,876,95.74643707,876,95.65877533,876,95.55108643,876,95.45644379,876,95.28001404,876,95.03356934,876,94.74927521,876,94.46578979,876,94.08881378,876,93.597229,876,93.13957977,876,92.55612183,876,88.14837646,
875,29.51424026,875,135.6390686,875,95.83444214,875,95.81510162,875,95.81626892,875,95.83804321,875,95.80478668,875,95.79932404,875,95.78800201,875,95.69036102,875,95.67274475,875,95.58516693,875,95.44379425,875,95.27880859,875,95.03614044,875,94.77503967,875,94.45582581,875,94.08989716,875,93.64002228,875,93.10987854,875,92.5724411,875,88.12697601,
874,29.71043205,874,135.4241333,874,95.78820801,874,95.83423615,874,95.82406616,874,95.795784,874,95.78414154,874,95.74517059,874,95.75689697,874,95.69398499,874,95.62774658,874,95.53725433,874,95.4260788,874,95.25709534,874,95.00246429,874,94.73937225,874,94.44371033,874,94.08685303,874,93.62497711,874,93.11071014,874,92.55300903,874,88.1365509,
873,29.86348915,873,135.1844177,873,95.78617096,873,95.82302856,873,95.82292175,873,95.78482819,873,95.73743439,873,95.74889374,873,95.70050049,873,95.67460632,873,95.61558533,873,95.55428314,873,95.42737579,873,95.27127075,873,95.01583862,873,94.73324585,873,94.45150757,873,94.07587433,873,93.62505341,873,93.10533905,873,92.55619812,873,88.10573578,
872,30.0357933,872,134.9064026,872,95.80839539,872,95.82131195,872,95.80754852,872,95.83629608,872,95.76701355,872,95.79575348,872,95.73075867,872,95.68729401,872,95.59885406,872,95.57063293,872,95.43836212,872,95.25667572,872,95.04564667,872,94.7631073,872,94.42733002,872,94.08326721,872,93.62488556,872,93.12623596,872,92.58274841,872,88.09319305,
871,30.22086906,871,134.7151947,871,95.72431183,871,95.75093842,871,95.72181702,871,95.7589798,871,95.74707031,871,95.7298584,871,95.72542572,871,95.65446472,871,95.57169342,871,95.51966858,871,95.38195038,871,95.241745,871,94.99039459,871,94.71308899,871,94.37880707,871,94.02835846,871,93.5770874,871,93.05253601,871,92.54045105,871,88.12594604,
870,30.39776993,870,134.4618378,870,95.76194763,870,95.76913452,870,95.77785492,870,95.74996948,870,95.74050903,870,95.73101044,870,95.71673584,870,95.66850281,870,95.60015869,870,95.48686981,870,95.40280151,870,95.21733093,870,94.96823883,870,94.70168304,870,94.38549042,870,94.02630615,870,93.55397034,870,93.07250214,870,92.51974487,870,88.11396027,
869,30.58008766,869,134.2433167,869,95.69726563,869,95.72877502,869,95.74835205,869,95.72465515,869,95.71139526,869,95.69924164,869,95.6738739,869,95.65311432,869,95.5789566,869,95.46826172,869,95.38704681,869,95.2012558,869,94.98332977,869,94.68561554,869,94.34063721,869,94.00064087,869,93.55370331,869,93.03838348,869,92.52511597,869,88.08494568,
